time,year,lat,long,commodity,volume,state,release type,water,cost,cause
2010-07-11 08:15:00,2010,32.47831,-94.86801,CRUDE OIL,252,TX,LEAK,YES,54536.763636363714,CORROSION FAILURE
2010-07-06 09:45:00,2010,36.01526,-96.75729,CRUDE OIL,126,OK,OVERFILL OR OVERFLOW,YES,2867.641915336569,EQUIPMENT FAILURE
2010-07-05 10:40:00,2010,33.53866,-82.53516,FLAMMABLE GASES,130368,GA,MECHANICAL PUNCTURE,NO,659400.4233171411,EXCAVATION DAMAGE
2010-07-08 15:20:00,2010,29.624779999999998,-95.09823,FLAMMABLE GASES,294,TX,LEAK,NO,328668.2378903533,OTHER INCIDENT CAUSE
2010-06-23 12:00:00,2010,43.965346000000004,-97.694305,CRUDE OIL,84,SD,LEAK,NO,38256.60707841769,EQUIPMENT FAILURE
2010-07-07 12:00:00,2010,29.630833000000003,-95.119722,FLAMMABLE GASES,42,TX,LEAK,NO,7860.860513532283,EQUIPMENT FAILURE
2010-07-12 13:30:00,2010,38.090720000000005,-77.44581,REFINED LIQUIDS,0,VA,LEAK,NO,6666.00971547536,EQUIPMENT FAILURE
2010-07-14 12:30:00,2010,35.23317,-97.60874,FLAMMABLE GASES,42,OK,LEAK,NO,61.629146426093136,EQUIPMENT FAILURE
2010-07-14 21:15:00,2010,36.77451,-97.75519,FLAMMABLE GASES,1260,OK,LEAK,NO,10976.276752255391,CORROSION FAILURE
2010-07-26 14:20:00,2010,30.145766,-94.404044,CRUDE OIL,420,TX,LEAK,NO,31383.07064538515,EQUIPMENT FAILURE
2010-07-21 13:02:00,2010,30.45372,-94.97393000000001,FLAMMABLE GASES,126,TX,LEAK,NO,252.8052741151975,EQUIPMENT FAILURE
2010-07-14 23:00:00,2010,35.55435,-97.10423,FLAMMABLE GASES,42,OK,LEAK,NO,201.23802914642624,EQUIPMENT FAILURE
2010-07-12 10:40:00,2010,32.285940000000004,-94.500617,CRUDE OIL,0,TX,LEAK,NO,12621.397640527417,CORROSION FAILURE
2010-07-31 07:02:00,2010,32.06839,-96.47081,CRUDE OIL,126,TX,LEAK,NO,24182.52241498969,CORROSION FAILURE
2010-07-14 13:30:00,2010,29.630232,-95.058734,REFINED LIQUIDS,1386,TX,LEAK,NO,1627.5125607217212,EQUIPMENT FAILURE
2010-01-21 12:30:00,2010,30.78251,-90.75851,REFINED LIQUIDS,252,LA,LEAK,YES,252264.44691186605,NATURAL FORCE DAMAGE
2010-07-19 20:44:00,2010,38.780525,-121.246797,REFINED LIQUIDS,0,CA,LEAK,NO,62258.01526717572,EQUIPMENT FAILURE
2010-07-23 14:05:00,2010,40.36468,-96.65431,FLAMMABLE GASES,0,NE,OTHER,NO,205213.73795975023,MATERIAL FAILURE OF PIPE OR WELD
2010-07-27 16:41:00,2010,38.82204,-90.07892,REFINED LIQUIDS,8274,IL,LEAK,NO,455357.63913948566,CORROSION FAILURE
2010-07-25 17:58:00,2010,42.24329,-84.97251,CRUDE OIL,843444,MI,RUPTURE,YES,1057161371.4526027,MATERIAL FAILURE OF PIPE OR WELD
2010-07-29 09:40:00,2010,45.792899,-108.47417800000001,REFINED LIQUIDS,0,MT,LEAK,NO,657.7968077723804,EQUIPMENT FAILURE
2010-08-05 19:38:00,2010,34.82512,-97.18992,REFINED LIQUIDS,13440,OK,MECHANICAL PUNCTURE,NO,302234.3650242882,EXCAVATION DAMAGE
2010-07-28 07:45:00,2010,47.372103,-94.57539,CRUDE OIL,0,MN,LEAK,NO,23082.001943095096,EQUIPMENT FAILURE
2010-07-29 13:30:00,2010,47.38361,-94.63389000000001,CRUDE OIL,6510,MN,LEAK,YES,1043922.2761970855,EQUIPMENT FAILURE
2010-07-29 16:30:00,2010,37.8875,-97.90876999999999,CRUDE OIL,840,KS,LEAK,NO,56598.195697432406,CORROSION FAILURE
2010-08-05 14:00:00,2010,41.6234,-83.4878,CRUDE OIL,42,OH,LEAK,NO,26711.832893823695,EQUIPMENT FAILURE
2010-08-22 19:00:00,2010,32.06839,-96.47081,CRUDE OIL,4200,TX,LEAK,NO,500628.6492713401,CORROSION FAILURE
